Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
CIVIL ENGINEER II-INACTIVE,Engineering,"Planning, Dev & Transportation",17265.19,2071,190cad311608e494cce868b8686e8299b7e67e7f
"PARTNER, HUMAN RESOURCES",Human Resources,Information & Employee Svcs,17220.00,2072,5c6afc09f6e0793c30e87bdd472ee4a5a57ff660
MAINTENANCE WORKER-EQUIPMENT,Operation Services,Information & Employee Svcs,17176.04,2073,ed045f65698a0c87d01ca34b767ae61f8c329f58
UTILITY WORKER/ WATER,Ut Drainage System Div,Utility Services,17156.55,2074,aded4584f5be7d5c5548f815eba8ad2c1dc9ba3b
DEPUTY COURT CLERK I,Municipal Court,Judicial Services,17124.28,2075,9d544956c9056c0c45045bb100201969e3f82477
PLANT OPERATOR,Ut Wtr Reclama & Biosolids Div,Utility Services,17094.21,2076,b5a9c848dee1e6f2fbade3093b25d6d1f694845e
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",17013.14,2077,0479aad3153b31a0e7942bab04fc06424f5404c9
PLANT OPERATOR,Ut Wtr Reclama & Biosolids Div,Utility Services,16996.00,2078,9af52a5da58e69192e0e209bc98362129eab0c9f
ADMINISTRATIVE CLERK II,Transfort / Parking Services,"Planning, Dev & Transportation",16989.46,2079,ebfdfd5cc300899c7cdd572e94f13f5300e9d4ca
CLERICAL AIDE,Recreation,Community Services,16901.69,2080,be29d8ce96e1f7dbde7aeea03486144c356ea85d
AQUATICS PROGRAM LEADER,Recreation,Community Services,16869.97,2081,ac8a5fbd72173861f564c9d2f5660a7b77dff413
FACILITY ATTENDANT,Recreation,Community Services,16737.64,2082,c3b0fc95e78490e4e9804eae8c5182602a37e7b5
FACILITY ATTENDANT,Recreation,Community Services,16735.59,2083,eceb54dc51e29728928eeae78f788d7b34d2f704
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,16695.32,2084,5a451595f3bd1b655fcce37b191015112900300d
CUSTOMER SERVICE REP II,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",16654.00,2085,00b766b1007f3c469c59d08d48dc5bb278120afd
CIRCULATION SPECIALIST,Library District,Library District,16586.09,2086,faf8182b3e98a6fd3d9c44c5a14b40b7cfab28af
EQUIPMENT OPERATOR/ PARKS,Parks,Community Services,16562.97,2087,9abdc3fbb5a31e4f19dd2c080c19143a337ab0c3
LINE GROUNDWORKER/HOURLY,Electric Field Services,Utility Services,16533.25,2088,d6fea20ccf4f86a1a46f472bd20ad236e3e89292
CHEMIST,Ut Water Quality Services Div,Utility Services,16483.16,2089,4f1877c8960e55ec0230ed63069f5ce3c7e70061
WATER UTILITY MAINT OPERATOR,Ut Distribution System Div,Utility Services,16474.31,2090,a5677657de5fc83ddc5147aece97ea3d584b6262
YOUTH INSTRUCTOR,Recreation,Community Services,16472.87,2091,ae96769393677e2c57dbbd524dfba30d15aea28d
PROGRAM ASSISTANT,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",16448.25,2092,442bc3defe7033a4f0ddb072a41be927e3daef0a
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,16387.50,2093,d48fa8020c29a984a0fb4a5ef3a8fe48d9d406c5
INTERN,Ut Water Resources Div,Utility Services,16376.85,2094,8799488ebb99fe7f6c4f046b8988f7a02f53f47b
FORESTRY FIELD WORKER I,Parks,Community Services,16321.50,2095,eab3f43dd360a686d4978728604feb71516e2736
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",16206.26,2096,e4dc48a5ebb1f30de00016b8e636c7cc4c0db8fc
WATER UTILITY MAINT OPERATOR,Ut Collection System Div,Utility Services,16172.80,2097,19026d142d50a1f5c3708934562346f79934064e
UTILITY WORKER/ PARKS,Parks,Community Services,16149.86,2098,33f655ea95f5a174693039607f0007c205413e5f
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,16140.14,2099,548c519aac8fb59aea0485815e869e6331be58c5
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",16112.20,2100,d33626e015a68fb09812b3eeb8a1c89a572d381c
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,15957.47,2101,4a16c7be83a06967c5e21f33d593ed5f946822ac
CLERICAL AIDE,Recreation,Community Services,15949.84,2102,1354b84a3f62517a22e2b003e2c3dde06995bbb8
CLERICAL AIDE,Cultural Services,Community Services,15943.92,2103,ed1b62be4f47cb84b0439d84f74efa8fd4496c2a
UTILITIES EDUCATION SUPERVISOR,Utilities Customer Connections,Utility Services,15939.94,2105,09afb5d4bed98c19cff7e3f66a58a057ae622b8a
CUSTOMER SERVICE REP,L&P Operations Service Unit,Utility Services,15934.38,2106,49904e5e9b10e8bd9b20f6020ad3437e22942f19
TRANSFORT/DAR GENERAL MANAGER,Transfort / Parking Services,"Planning, Dev & Transportation",15934.17,2107,e407ae239ccb4b46c82576688e34883dc7bcb1fc
SR POLICY & PROJECT ANALYST,Finance Administration,Financial Services,15915.61,2108,6b7d7b340bddf034768bc9f267304894ea86fee7
PARKING ATTENDANT,Transfort / Parking Services,"Planning, Dev & Transportation",15864.08,2109,7af52d9e04622dfdcbcf4f4c09c45bf224d4d747
TRAFFIC CONTROL SUPERVISOR,Streets,"Planning, Dev & Transportation",15836.50,2110,b336b0f1b539995738a5514480c451b936ef064e
UTILITY WORKER/ PARKS,Parks,Community Services,15752.95,2111,f75e468f6f9e24925be9a95b886334d591f1387f
"SR COORDINATOR, MARKETING",Cultural Services,Community Services,15729.49,2112,bb10800447549a37f8e2f4d6b476165a90a00eb1
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",15714.56,2113,a4dd37d17efd277d868347a26de637851d705175
INTERN,Engineering,"Planning, Dev & Transportation",15668.46,2114,ce20ad68759e995a98ef1dcfe93ca7599e69d086
BUSINESS SUPPORT II,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",15654.21,2115,d34afb465c56d9edd9569c1e0cbda71fbfd65f9b
UTILITY WORKER/ PARKS,Parks,Community Services,15652.57,2116,932f1c00beaaa9e6cb87f23aaf125eea88cd5442
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,15600.50,2117,a758e9ab57ff5b4bdd97e361e734956d6a9e5041
"TECHNICIAN II, CLIENT SERVICES",Transfort / Parking Services,"Planning, Dev & Transportation",15577.66,2118,a3ebd9efefe77d1b192bced11eae4c678393bbaf
BUS FUELER,Operation Services,Information & Employee Svcs,15558.90,2119,ffe276752b1f3c90e9cf9a52ec2c4f3c6f90df65
PARKING ATTENDANT,Transfort / Parking Services,"Planning, Dev & Transportation",15498.42,2120,995e8e0724bf9a28214722cc01b945d3fd25cbf2
UTILITY WORKER/ PARKS,Parks,Community Services,15468.75,2121,89b56e036bf7e5c9e62dd2070dd0df8640c41546
ADMINISTRATIVE SUPPORT II,Transfort / Parking Services,"Planning, Dev & Transportation",15465.70,2122,d1c8c21ea2de1d18af40c8c12430b28f72a41741
WWTR PROCESS OPTIMIZATION SPEC,Ut Wtr Reclama & Biosolids Div,Utility Services,15392.70,2123,be93b6896ea1d373cf31a8922dadf69d457fadeb
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",15379.59,2124,23cc135eca65f96f80e10e4b02787fbfb3f78feb
MAINTENANCE WORKER-EQUIPMENT,Operation Services,Information & Employee Svcs,15359.88,2125,714e8a85e6e263a3d1dcc6be5a3894becd91d752
"DIRECTOR, INFORMATION SERVICES",Police Information Services,Police Services,15346.14,2126,972ec9de41f7dae52b907c4725bf373a54450266
FACILITY ASSISTANT,Library District,Library District,15335.30,2127,fb2b0b8dfd971f88382149e5de19d999cd7a3a6b
UTILITY WORKER/ PARKS,Parks,Community Services,15333.07,2128,90a71033214244fc5ad1950ddfe7c432a0a26c57
ANSWER CENTER TECHNICIAN,Library District,Library District,15308.48,2129,eea9a08d83d1b0acd15608a2a794667611c0d990
RESEARCH ASSISTANT,Cultural Services,Community Services,15304.34,2130,6b86a77f1b918000213a6a0a54ed937f439aa548
FACILITY ATTENDANT,Recreation,Community Services,15278.08,2131,69c082399e6930f4ee4ec42a71a7227791d7c9af
LIBRARY ASSISTANT - HOURLY,Library District,Library District,15255.39,2132,2a04c28cb2355818eb24e51bc8aff5935289e3fd
CIRCULATION AIDE,Library District,Library District,15198.12,2133,c9d5ed54d442315b7f12c00ec564da7292e1d982
LIFEGUARD,Recreation,Community Services,15194.63,2134,ce6c4cdabb0ac031c9c21a95512af0512412e898
LIBRARY AIDE-COMP LAB MONITOR,Library District,Library District,15165.49,2135,e794eed0883cab13ebc950012d7607d4fbd6457e
PARKING ATTENDANT,Transfort / Parking Services,"Planning, Dev & Transportation",15151.45,2136,a6d9cf0e08f4f840ea920c99cf60374d545261b5
UTILITY WORKER- STRTS/TRAFFIC,Traffic,"Planning, Dev & Transportation",15097.28,2137,b33411b2eeef92801319f7744a789e6fa47347a4
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",15079.39,2138,5f405ff26a1c839a00e8e1dcebb4fee8cf689356
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",15077.77,2139,046fad87506e92c1fed7cb1dd19a1110e6f8c818
IT ANALYST,Poudre Fire Authority,Poudre Fire Authority,15035.00,2140,338facce642e5073b62e6a4ae3dd5ae7b07c1412
CAMERA RADAR OPERATOR,Community and Special Services,Police Services,15022.90,2141,746b1db570c60e73865818110b62e55a6c25d2fe
EQUIPMENT OPERATOR/ PARKS,Parks,Community Services,15016.01,2142,9b9a36a5d3c7a4b05ed594b1cfe205e7186be8e7
GARDENER,Cultural Services,Community Services,15005.25,2143,64aab9d9dbd6e2e10e436e76eb9651edeb0cfe5c
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,14958.30,2144,4c0612c93b42bbdbd7e9e47558607ef8710d1f4e
UTILITY WORKER/ PARKS,Parks,Community Services,14934.50,2145,0e73b69d8e7b69042828be732131e85897457e09
LINE GROUNDWORKER/HOURLY,Electric Field Services,Utility Services,14898.88,2146,077ceb533695afa5dcfa71811ffceafad741f148
INTERN,Engineering,"Planning, Dev & Transportation",14885.63,2147,d233daf47d6eba89b436deb0261c25afaff17480
LIBRARIAN - JOBS AND CAREERS,Library District,Library District,14884.46,2148,4df996d66d6fa2bb360ca57e2cbe6c66edfd3a99
PROGRAM COORDINATOR-INACTIVE,Utilities Customer Connections,Utility Services,14844.32,2149,beef0f2093a0e28271eedcca4bc97a20332231db
GRADUATE MGMT ASSISTANT-INACTI,City Manager's Office,Executive Services,14831.05,2150,550d316931d1638a9fbba6ea6a825dc7a1539f23
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,14778.00,2151,82d2b76a7fd16310c6f588e51aae78ee49c1eac8
LCC TECHNICAL AIDE I,Cultural Services,Community Services,14776.38,2152,f4b67481f5da69f79f3c966f0c5b5ddbd49d762d
UTILITY WORKER/ WATER,Ut Drainage System Div,Utility Services,14709.11,2153,f1fb36d6c0e478defcc1c8234f3b970f603b61d6
EQUIPMENT OPERATOR/ CEMETERY,Parks,Community Services,14696.04,2154,5b440e4427ca01a1b1575cb30dc3efeab728039b
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",14688.10,2155,80c4dfaeeeae34026c8c99b5ce92e7809f8541a1
MAYOR,City Council,Executive Services,14688.00,2156,886a4bf4518d1861e14513b55a78bb3fd2c07d59
UTILITY WORKER- STRTS/TRAFFIC,Traffic,"Planning, Dev & Transportation",14645.36,2157,2f4768ceaa7faeba96167fe266eb8c0d12328874
UTILITY WORKER/ PARKS,Parks,Community Services,14587.33,2158,f760c46df4f2b11d8c67f0b1a89f79e66157cc2f
LINE GROUNDWORKER/HOURLY,Electric Field Services,Utility Services,14479.08,2159,04d9278dfe2c9d5a1210e0d5fe5f4938dd2e5b5b
AQUATICS MANAGER,Recreation,Community Services,14444.44,2160,b12bb56ca201b0383ad6dbdd1cd5a8ddb6715b37
UTILITY WORKER- STRTS/TRAFFIC,Traffic,"Planning, Dev & Transportation",14431.90,2161,e057948c17fe28913c9452fb6d93121a049fed1d
INVESTIGATIVE AIDE,Investigations,Police Services,14431.51,2162,48e472a79141128e1e06ed518b212a48cdbb4761
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",14397.98,2163,3b6d52887f980a161a480a92e8db71be5c06067b
UTILITY WORKER/ PARKS,Parks,Community Services,14388.50,2164,ca4685bd5ca3102a3ac833754b8752a4e0ab6696
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",14362.60,2165,b1d6ea72825ff3487b67103e9f490a5abe0eda84
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",14308.88,2166,364197c3d928240d710abc81c8acb4048cba9e2e
UTILITY WORKER/ PARKS,Parks,Community Services,14303.52,2167,b6353e1a4d82aeb69a39d283c23755823f08f3a3
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",14278.47,2168,f5db4889589ca771c2e2bdc5d42c8a3307475a30
CLERICAL AIDE,Recreation,Community Services,14261.35,2169,ad70254aec469c48169cb62006c3467b32ca24e5
UTILITY WORKER/ PARKS,Parks,Community Services,14201.25,2170,651f3099dda38814674d1a1034c5e9b880daa451
LIBRARY AIDE-COMP LAB MONITOR,Library District,Library District,14182.95,2171,30a6b8e2c79ad8834ae5f3f649a0349fa28c9363
UTILITY WORKER/ PARKS,Parks,Community Services,14169.62,2172,329064334369b6f4adea9ced20d17b5ef6e9e933
"SR SUPERVISOR, BLDG & DEV REV",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",14143.10,2173,b325b83b39fc0e1828d8c5a5fd1470826e9ce868
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",14140.82,2174,3374b15a3cfd63d906ab06a382bbe479d17c4de1
PRODUCTION COORDINATOR,Cultural Services,Community Services,14112.01,2175,ed749f75024e24f7dd01a706e0f17a25dad87644
FACILITY ATTENDANT,Recreation,Community Services,14091.09,2176,9b92910d3be8fbdb8c054a59cbba6cfb3ec52f86
BUS FUELER,Operation Services,Information & Employee Svcs,14082.60,2177,21a8feac01d365bb94db98daed879ae31cd3fa16
"COORDINATOR, PUBLIC ENGAGEMENT",Cultural Services,Community Services,14072.81,2178,80736a2244fb68c01136c0cf4d85fc828ff31ae8
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",14068.01,2179,36edebc74b09efa682b76c2b26ca463f17d6014b
EQUIPMENT OPERATOR/ PARKS,Parks,Community Services,14042.76,2180,db2ac94ba28101dfb011b5586ed76506e185e891
EXHIBIT WORKER,Cultural Services,Community Services,14041.71,2181,a77be1738c7ba9a1c7a8d54e224e9e8e8843ad8a
SYSTEMS & PERFORMANCE ANALYST,Transfort / Parking Services,"Planning, Dev & Transportation",13986.36,2182,46f38279d7301fd8311c049d65b082a1c1a84389
UTILITY WORKER/ PARKS,Parks,Community Services,13965.02,2183,5d783c3c5a39ca9f06f1a88cc8e50bc4ae003db7
CIRCULATION SPECIALIST,Library District,Library District,13963.38,2184,9053fb8015f893eba97bb04eb474aaed5025afef
ADMINISTRATIVE CLERK I,Information Technology,Information & Employee Svcs,13952.75,2185,429db6c8103268bec65eb3ecfbe7f974eced636a
CLERICAL AIDE,Recreation,Community Services,13906.34,2186,579cd7f2e648cf35481f19b2403b073308b853a4
UTILITY WORKER/ PARKS,Parks,Community Services,13889.85,2187,5197e085042bbd361ef95cdd189570e86f4d423a
CLERICAL AIDE,Cultural Services,Community Services,13843.18,2188,7a5939799150993d753a32b80dccab3fc8cbcd63
LINE GROUNDWORKER/HOURLY,Electric Field Services,Utility Services,13840.66,2189,08f92d47f14df8bbde1721c9b82ca4d0a03f2d92
STORE CLERK,Recreation,Community Services,13817.61,2190,ed4ae60842bdf9a173738ea4aa7ae06b662cef3b
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",13810.10,2191,40f535fb841de70a4eac03fe3cea5f13b27a1584
FORESTRY FIELD WORKER II,Parks,Community Services,13807.50,2192,888a74d94bab9cc5405c9d419b5340da959a3e35
UTILITY WORKER/ PARKS,Parks,Community Services,13800.02,2193,4fef6e15b4eaa4848556c4c859c68c1d79224997
VICTIM ADVOCATE,Investigations,Police Services,13738.55,2194,a002692c3a1e80e00743cea68356a29a2991cc18
"LEAD REP, CUSTOMER SUPPORT",Utilities Customer Connections,Utility Services,13706.22,2195,8ed5e6ad25ead80068fb2a7f91f7acb3db64bc46
CLERICAL AIDE,Recreation,Community Services,13656.37,2196,390d430fed38a1621ab7e288a93b945b39a2ad9a
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,13640.53,2197,ca2ad0495d7fd491db3fc455622fe643823d0b43
"DIRECTOR, CULTURAL SERVICES",Cultural Services,Community Services,13615.38,2198,fd557ec6041f47d0bfc13e8b4e4c28b272ab2876
UTILITY WORKER/ PARKS,Parks,Community Services,13613.75,2199,b6e82f6c79ea89162800824b42a5ca27ce0e4ec1
CLERICAL AIDE,Recreation,Community Services,13608.57,2200,2469adefaf7f78ed304fa79ae1a1882ec915dd50
SKATE GUARD,Recreation,Community Services,13597.75,2201,476270d758dc90e124133a2366ef729fc4b4d819
WATER UTILITY MAINT OPERATOR,Ut Collection System Div,Utility Services,13591.48,2202,3164b58c3b51f78120196e56da2c88f862f92e6f
"REP II, CUSTOMER SUPPORT",Utilities Customer Connections,Utility Services,13551.03,2203,47f827b353b33a3b4fd1879cef9ca6da043ef3b2
GENERAL INTEREST INSTRUCTOR,Recreation,Community Services,13549.38,2204,f9577dad1f75c3e6df02c41af27a82c11d897c2f
TEMPORARY JUDGE,Municipal Court,Judicial Services,13500.00,2205,cadc481861e196b14bd87e77651caa78726a947b
UTILITY WORKER/ PARKS,Parks,Community Services,13474.64,2206,7db45dd6fa875afadf4b3cb32ff504d18ba5d635
UTILITIES EDUCATION COORD,Utilities Customer Connections,Utility Services,13456.89,2207,b8e1077770b7b6439b587e3e610cabea573277ca
LINE GROUNDWORKER,Electric Field Services,Utility Services,13448.96,2208,af9f86f20aea1a24da7dd2f698eb9bc61f5c80b6
UTILITY WORKER/ PARKS,Parks,Community Services,13359.96,2209,26d15193e050808a02b70ddb2b5a0239f358297f
CLERICAL AIDE,Recreation,Community Services,13320.32,2210,6c897d9239c59c14013e132e688bd47894b53cca
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,13315.13,2211,5e6423a4a90eef2e80d419a474787ef33f269d3b
FIGURE AND FREESTYLE COACH,Recreation,Community Services,13294.68,2212,ce557a91e97875eb1e402a2ff9e8376bc92dcb3c
"COORDINATOR, CULTURAL SERVICES",Cultural Services,Community Services,13294.15,2213,82b3b739d7525e8eed3c20a647037ca2edfcc770
FIRE SAFETY INSPECTOR,Poudre Fire Authority,Poudre Fire Authority,13268.37,2214,d9a470db897c9d04c6b61a4f75f5fecbdaa92b8b
EVENTS CONCIERGE,Cultural Services,Community Services,13266.25,2215,1e1022513da0bd302de7c7cc60a8709ec5d10858
LCC TECHNICAL AIDE I,Cultural Services,Community Services,13227.17,2216,f05fe4d5582c4feeb9372b80d2f9b2bb614296fb
"SR SPECIALIST, COMMUNICATIONS",Cultural Services,Community Services,13224.66,2217,bedfa66d8599a35e8400f45fc73fed27d1bedc9c
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",13223.88,2218,49de19afa0483c855c97ef25efdbe15462080867
MUSEUM ASSISTANT,Cultural Services,Community Services,13216.00,2219,12ca757c75816ada8aa4ef3b4ebf51ac5f7fa560
ADMINISTRATIVE ASSISTANT,Cultural Services,Community Services,13165.23,2220,13894c57f9b41386e805d030a0eca6901144ea5a
UTILITY WORKER/ PARKS,Parks,Community Services,13140.59,2221,99da75ef6f5b05ea0900b01b32e670b455b7f983
RESEARCH ASSISTANT,Cultural Services,Community Services,13094.43,2222,aeedabb6d07c7a9e7b7f76813dad0c882de181ad
UTILITY WORKER/ PARKS,Parks,Community Services,13079.50,2223,95cf08caf8ebc696bbfea55cdf2f97c6f6d96138
CIRCULATION AIDE,Library District,Library District,13031.02,2224,ad4e00ddb67b8eeaf9ed8069ac629c37ffec4169
FACILITY ATTENDANT,Recreation,Community Services,12925.23,2225,95183e437efe174b8e24c6c406fca9d5d88719d2
UTILITY WORKER/ PARKS,Parks,Community Services,12863.27,2226,f55c5ae77e053c80c5d44f46e2bffa8bd7b382c4
CIRCULATION AIDE,Library District,Library District,12802.78,2227,3a1e46afcc7efb0dcf835e19638f4d5d120dcde2
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",12791.57,2228,aa82d11c5e088196bd356775ba5f00e61a20b887
UTILITY WORKER/ PARKS,Parks,Community Services,12737.08,2229,0f3708030f6b8644675eab24f1d072cf2b29992b
"COORDINATOR, CUSTOMER SUPPORT",Ut Water Meters Div,Utility Services,12691.95,2230,377cde3a3287b07321b7879492ee67ba1000f6ab
EQUIPMENT OPER- STRTS/TRAFFIC,Streets,"Planning, Dev & Transportation",12642.76,2231,59d285e72dc2684e78da76ecdc2754ae1267aff9
"ANALYST II, APPS SOFTWARE",Ut Process & Supervis Cntr Div,Utility Services,12636.80,2232,2e7569bd41956003bd79c2e9a46ac09d49af0601
"SPECIALIST, SAFETY","Safety, Security, & Risk Mgmt.",Financial Services,12609.65,2233,94d1ddf73e34c539bc95402621df41879463053a
JUNIOR PARKS CREW,Parks,Community Services,12603.90,2234,3176b07b575bab93ce1589c4b04b92890e7f1aae
CIRCULATION SPECIALIST,Library District,Library District,12584.99,2235,79d38817120bffb4aeded5d76624062774570ede
LIBRARY ASSISTANT,Library District,Library District,12560.51,2236,3d99acae58d1701b394640881d581827dc65c7e8
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,12557.50,2237,53f6301c9ea03291cb67adf4fc78c1daaae2eabe
CIRCULATION AIDE,Library District,Library District,12539.17,2238,0a1f741e471a957ab38abdddd25b63cbc5b21d93
CONSULTANT,"Safety, Security, & Risk Mgmt.",Financial Services,12510.00,2239,03b5408b281d07acd601ea7bfbe36909c263e932
UTILITY WORKER / WATER,Ut Water Production Div,Utility Services,12500.25,2240,31c61da611c28c354d4abdf2940cddfb42bb9278
LIBRARY ASSISTANT,Library District,Library District,12490.74,2241,115c57ace3f6ce80011ddd3c26f47c3bbe8ff8f7
INTERN,Traffic,"Planning, Dev & Transportation",12437.55,2242,cc5c10270c4b4dad3652a7782c488fe4fb27acf3
"WORKER I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",12401.85,2243,477e472ed823b82e299056f185e668da78a9be8c
PROGRAM COORDINATOR,Recreation,Community Services,12330.90,2244,e86866adcb67f6be3a539d30f27b289a7f010163
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,12279.99,2245,685d14ec61a5e125feeee9bb5065b573cb4bb788
CLERICAL AIDE,Recreation,Community Services,12253.66,2246,bb3d1460d5df9a60fe6798b363b8ff7b49c335ad
LIBRARY ASSISTANT,Library District,Library District,12242.75,2247,c94ab0cf76376c1fabfaa1e42050b7f00385cd6e
YOUTH INSTRUCTOR,Recreation,Community Services,12240.52,2248,f14cce727603565e3356cc3cab5ba6cbaf91c613
LAB ASSISTANT,Ut Water Quality Services Div,Utility Services,12184.93,2249,2f044935cce74ebbd070b3302ef536ed85876614
